"","network","id","state","name","lat","lon","elev","county","NRCS Soil Survey Pedon Code","GMT offset","start date"
"178","SCAN    ",2176,"AL","SELMA               ",32.40392,-86.89137,140,"DALLAS","NULL",-6,2010-04-11 00:00:00
"179","SCAN    ",2177,"AL","BROAD ACRES         ",32.28393,-86.05253,269,"MONTGOMERY","NULL",-6,2010-04-12 00:00:00
"180","SCAN    ",2178,"AL","MORRIS FARMS        ",32.41222,-85.91028,220,"MACON","NULL",-6,2010-04-13 00:00:00
"181","SCAN    ",2179,"AL","SUDDUTH FARMS       ",34.17973,-87.45618,772,"WINSTON","NULL",-6,2010-04-14 00:00:00
"182","SCAN    ",2180,"AL","KOPTIS FARMS        ",30.5238,-87.69797,135,"BALDWIN","NULL",-6,2010-05-07 00:00:00
"183","SCAN    ",2181,"AL","PERDIDO RIV FARMS   ",31.10923,-87.55277,299,"ESCAMBIA","NULL",-6,2010-05-08 00:00:00
"184","SCAN    ",2182,"AL","RIVER ROAD FARMS    ",31.01912,-85.03693,107,"HOUSTON",NA,-6,2010-05-09 00:00:00
"185","SCAN    ",2183,"CA","DESERT CENTER       ",33.80208,-115.30505,556,"RIVERSIDE",NA,-8,2011-11-16 18:59:59
"186","SCAN    ",2184,"CA","FORD DRY LAKE       ",33.6547,-115.09763,394,"RIVERSIDE",NA,-8,2011-11-16 12:59:59
"187","SCAN    ",2185,"CA","ESSEX               ",34.67235,-115.16693,2644,"SAN BERNARDINO",NA,-8,2011-11-19 14:00:00
"188","SCAN    ",2186,"CA","SHADOW MTNS         ",35.46607,-115.7151,3643,"SAN BERNARDINO",NA,-8,2011-11-18 15:00:00
"189","SCAN    ",2187,"CA","DEEP SPRINGS        ",37.37222,-117.97383,5399,"INYO",NA,-8,2011-11-21 14:00:00
"190","SCAN    ",2188,"PR","COROZAL             ",18.31865,-66.02955,852,"COROZAL",NA,-8,2012-09-18 00:00:00
"191","SCAN    ",2189,"CA","COCHORA RANCH       ",35.11807,-119.59608,2697,"SAN LUIS OBISPO",NA,-8,2012-06-07 00:00:00
"192","SCAN    ",2190,"CA","DEATH VALLEY JCT    ",36.32502,-116.35132,2062,"INYO",NA,-8,2012-06-08 00:00:00
"193","SCAN    ",2191,"CA","DOE RIDGE           ",37.63423,-118.82643,7340,"MONO",NA,-8,2012-06-10 00:00:00
"194","SCAN    ",2192,"CA","EAGLE LAKE          ",40.6175,-120.72472,5134,"LASSEN",NA,-8,2012-06-12 00:00:00
"195","SCAN    ",2193,"MO","SCHELL-OSAGE        ",37.9872,-94.0364,793,"ST. CLAIR",NA,-8,2012-07-24 00:00:00
"196","SCAN    ",2194,"MO","JOURNAGAN RANCH     ",36.9973,-92.2594,1106,"DOUGLAS",NA,-8,2012-07-24 00:00:00
"197","SCAN    ",2196,"WI","UW PLATTEVILLE      ",42.70785,-90.3899,1075,"LAFAYETTE",NA,-8,2013-09-04 17:00:00
"198","SCAN    ",2197,"CO","CPER                ",40.8228,-104.71068,5330,"WELD",NA,-8,2013-09-12 00:00:00
"199","SCAN    ",2198,"WA","COOK FARM FIELD D   ",46.78373,-117.08008,2727,"WHITMAN",NA,-8,2013-07-24 00:00:00
"200","SCAN    ",2199,"TX","RIESEL              ",31.47907,-96.88162,539,"FALLS",NA,-6,2014-09-11 00:00:00
"201","SCAN    ",2200,"TX","SAN ANGELO          ",31.5496,-100.50748,1970,"TOM GREEN",NA,-6,2014-09-11 00:00:00
"202","SCAN    ",2201,"TX","KNOX CITY           ",33.44635,-99.86657,1448,"KNOX",NA,-6,2014-09-11 00:00:00
"203","SCAN    ",2202,"TX","VERNON              ",34.01635,-99.2464,1184,"WILBARGER",NA,-6,2014-09-11 00:00:00
"204","SCAN    ",2203,"TX","STEPHENVILLE        ",32.24535,-98.19563,1311,"ERATH",NA,-6,2014-09-11 00:00:00
"205","SCAN    ",2204,"TX","UVALDE              ",29.35963,-100.25278,915,"UVALDE",NA,-6,2014-09-17 00:00:00
"206","SCAN    ",2205,"TX","WESLACO             ",26.15553,-97.95927,57,"HIDALGO",NA,-6,2014-09-16 00:00:00
"207","SCAN    ",2206,"TX","KINGSVILLE          ",27.54945,-97.88223,67,"KLEBERG",NA,-6,2014-09-16 00:00:00
"208","SCAN    ",2207,"TX","BEAUMONT            ",30.06845,-94.29283,19,"JEFFERSON",NA,-6,2014-09-20 00:00:00
